dataset,model,method,AUROC mean,AUROC std,ATT AUROC mean,ATT AUROC std
logic7,gcn,CAM,0.9889660609069881,0.00156219189575565,0.7443294150673347,0.07544653697049963
logic7,gcn,GradInput,0.9889660609069881,0.00156219189575565,0.5447333773457137,0.06412333061973378
logic7,gcn,GradCAM-last,0.9889660609069881,0.00156219189575565,0.6128880321586128,0.08471184910566387
logic7,gcn,GradCAM-all,0.9889660609069881,0.00156219189575565,0.5657947723221903,0.09361206438069782
logic7,gcn,SmoothGrad(GradInput),0.9889660609069881,0.00156219189575565,0.5802334086601493,0.07552950142417245
logic7,gcn,IG,0.9889660609069881,0.00156219189575565,0.7475118206521497,0.11944686037262786
logic7,gcn,Random,0.607142280166077,0.03682471312681183,0.41088842715453827,0.02746462809574061
logic7,gcn,AttWeights,,,,
logic7,graphnet,CAM,1.0,0.0,0.43117958726072747,0.13372098939123797
logic7,graphnet,GradInput,1.0,0.0,0.5699877300305525,0.08744219023594017
logic7,graphnet,GradCAM-last,1.0,0.0,0.42383791207050175,0.15463172548577753
logic7,graphnet,GradCAM-all,1.0,0.0,0.7024553013010844,0.12343852879264222
logic7,graphnet,SmoothGrad(GradInput),1.0,0.0,0.5929090498140763,0.08376962905969652
logic7,graphnet,IG,1.0,0.0,0.768473013039504,0.1521124767461702
logic7,graphnet,Random,0.6152118774132054,0.01599044253503932,0.4322787675045981,0.00946198278548358
logic7,graphnet,AttWeights,,,,
logic7,mpnn,CAM,0.9871208891640797,0.0011530764601813562,0.7311565780248879,0.044682945293140784
logic7,mpnn,GradInput,0.9871208891640797,0.0011530764601813562,0.5441564508750776,0.07109718713280165
logic7,mpnn,GradCAM-last,0.9871208891640797,0.0011530764601813562,0.7279573143716593,0.05830616731182622
logic7,mpnn,GradCAM-all,0.9871208891640797,0.0011530764601813562,0.6929710844638941,0.06173461061107391
logic7,mpnn,SmoothGrad(GradInput),0.9871208891640797,0.0011530764601813562,0.5686040315626155,0.08033611210355018
logic7,mpnn,IG,0.9871208891640797,0.0011530764601813562,0.7380292291291569,0.10817945644264314
logic7,mpnn,Random,0.6696392510379813,0.0708685242100126,0.4044306840366058,0.021881084663507997
logic7,mpnn,AttWeights,,,,
logic7,gat,CAM,0.991640798243781,0.0016757297315822886,0.6364074048764672,0.06836696790164526
logic7,gat,GradInput,0.991640798243781,0.0016757297315822886,0.5439059533385736,0.09321305276720761
logic7,gat,GradCAM-last,0.991640798243781,0.0016757297315822886,0.5890245508246523,0.08012345376946825
logic7,gat,GradCAM-all,0.991640798243781,0.0016757297315822886,0.5560222061734785,0.08449341287822662
logic7,gat,SmoothGrad(GradInput),0.991640798243781,0.0016757297315822886,0.5525726321170865,0.10130002192802033
logic7,gat,IG,0.991640798243781,0.0016757297315822886,0.6756649641880638,0.11727935399180295
logic7,gat,Random,0.991640798243781,0.0016757297315822886,0.43268299845640235,0.014096991886910935
logic7,gat,AttWeights,0.991640798243781,0.0016757297315822886,0.5353795547100095,0.013539679948267384
logic8,gcn,CAM,0.9799830576704086,0.0022742560599595773,0.9119605111282008,0.01674054871169858
logic8,gcn,GradInput,0.9799830576704086,0.0022742560599595773,0.5476638492545108,0.042033219008823355
logic8,gcn,GradCAM-last,0.9799830576704086,0.0022742560599595773,0.6343324158043784,0.06364238598195465
logic8,gcn,GradCAM-all,0.9799830576704086,0.0022742560599595773,0.5842463141013671,0.0560116604047577
logic8,gcn,SmoothGrad(GradInput),0.9799830576704086,0.0022742560599595773,0.5410341332322999,0.05418387338030721
logic8,gcn,IG,0.9799830576704086,0.0022742560599595773,0.8078902025074645,0.07508181124881609
logic8,gcn,Random,0.6215347707617581,0.03873988138980193,0.490031529633888,0.004614914622669625
logic8,gcn,AttWeights,,,,
logic8,graphnet,CAM,0.9986185188396843,0.0004390268051315977,0.6337180508876834,0.13991535610980263
logic8,graphnet,GradInput,0.9986185188396843,0.0004390268051315977,0.5826175409664615,0.04883871853806817
logic8,graphnet,GradCAM-last,0.9986185188396843,0.0004390268051315977,0.5795082693791503,0.1399209162988497
logic8,graphnet,GradCAM-all,0.9986185188396843,0.0004390268051315977,0.5948946387290439,0.0675077038501868
logic8,graphnet,SmoothGrad(GradInput),0.9986185188396843,0.0004390268051315977,0.5894421581322407,0.0543361895830442
logic8,graphnet,IG,0.9986185188396843,0.0004390268051315977,0.7556177891672271,0.09085912054311883
logic8,graphnet,Random,0.6266042727954823,0.0132858844556328,0.4901773219836862,0.006314853721356619
logic8,graphnet,AttWeights,,,,
logic8,mpnn,CAM,0.9797653097490625,0.0023351165371914722,0.9740576449555878,0.007946070023244376
logic8,mpnn,GradInput,0.9797653097490625,0.0023351165371914722,0.5575567478473638,0.03428124238740858
logic8,mpnn,GradCAM-last,0.9797653097490625,0.0023351165371914722,0.9245835394211069,0.025473236364998566
logic8,mpnn,GradCAM-all,0.9797653097490625,0.0023351165371914722,0.7568041359123678,0.050041015503473514
logic8,mpnn,SmoothGrad(GradInput),0.9797653097490625,0.0023351165371914722,0.5654995628794948,0.04079287228558743
logic8,mpnn,IG,0.9797653097490625,0.0023351165371914722,0.7742368081075854,0.052504398417141995
logic8,mpnn,Random,0.621508855585831,0.03966519663862461,0.5030780395640612,0.010561652513983865
logic8,mpnn,AttWeights,,,,
logic8,gat,CAM,0.9870599356316393,0.0019697005489749415,0.8415073697501875,0.02081637178097151
logic8,gat,GradInput,0.9870599356316393,0.0019697005489749415,0.5150868778717993,0.05049355608853543
logic8,gat,GradCAM-last,0.9870599356316393,0.0019697005489749415,0.5468062580617066,0.04882665107782001
logic8,gat,GradCAM-all,0.9870599356316393,0.0019697005489749415,0.5285747555938566,0.04572661331705239
logic8,gat,SmoothGrad(GradInput),0.9870599356316393,0.0019697005489749415,0.4165266366201256,0.06224494097335801
logic8,gat,IG,0.9870599356316393,0.0019697005489749415,0.687055504871049,0.05953581743759497
logic8,gat,Random,0.9870599356316393,0.0019697005489749415,0.49794989937265466,0.007705255240214659
logic8,gat,AttWeights,0.9870599356316393,0.0019697005489749415,0.5261124156154272,0.008146537384815165
logic10,gcn,CAM,0.9745988702198667,0.001710737726917526,0.7384378150642666,0.041079165597165304
logic10,gcn,GradInput,0.9745988702198667,0.001710737726917526,0.5046147702516145,0.04584176199539994
logic10,gcn,GradCAM-last,0.9745988702198667,0.001710737726917526,0.5271270421529871,0.0739782565840266
logic10,gcn,GradCAM-all,0.9745988702198667,0.001710737726917526,0.5283610807842835,0.07395547994397841
logic10,gcn,SmoothGrad(GradInput),0.9745988702198667,0.001710737726917526,0.49166402739363835,0.07464099695861699
logic10,gcn,IG,0.9745988702198667,0.001710737726917526,0.6900924576502413,0.1033053388823674
logic10,gcn,Random,0.5828332499861087,0.021865310127946076,0.5008815196873232,0.013746259354256432
logic10,gcn,AttWeights,,,,
logic10,graphnet,CAM,0.9996473853889739,0.00018838149170224866,0.5841460385894122,0.13193191624712464
logic10,graphnet,GradInput,0.9996473853889739,0.00018838149170224866,0.5466730773424481,0.06763126173060467
logic10,graphnet,GradCAM-last,0.9996473853889739,0.00018838149170224866,0.5495755191415089,0.1390333237832688
logic10,graphnet,GradCAM-all,0.9996473853889739,0.00018838149170224866,0.6997384069811087,0.08249485113582448
logic10,graphnet,SmoothGrad(GradInput),0.9996473853889739,0.00018838149170224866,0.5758845475288963,0.08491289642893458
logic10,graphnet,IG,0.9996473853889739,0.00018838149170224866,0.7132843451713556,0.11800098816318691
logic10,graphnet,Random,0.5758685475357005,0.017766707394664703,0.5061431936738856,0.005268907898884195
logic10,graphnet,AttWeights,,,,
logic10,mpnn,CAM,0.9767166764188586,0.0014775900075790756,0.7563183198705816,0.03341761495050408
logic10,mpnn,GradInput,0.9767166764188586,0.0014775900075790756,0.5376244621853119,0.05001896855920768
logic10,mpnn,GradCAM-last,0.9767166764188586,0.0014775900075790756,0.7332342767416165,0.055305423909907975
logic10,mpnn,GradCAM-all,0.9767166764188586,0.0014775900075790756,0.6274464720861039,0.05624554993222586
logic10,mpnn,SmoothGrad(GradInput),0.9767166764188586,0.0014775900075790756,0.5652545596835027,0.07125934019331054
logic10,mpnn,IG,0.9767166764188586,0.0014775900075790756,0.6261542827075143,0.09313621120588941
logic10,mpnn,Random,0.627281630271712,0.004359339218872748,0.4954724896465968,0.008892490475278946
logic10,mpnn,AttWeights,,,,
logic10,gat,CAM,0.9684379688281378,0.002327081848472716,0.6540001965101393,0.040143398494171624
logic10,gat,GradInput,0.9684379688281378,0.002327081848472716,0.40916016253664633,0.05316488851820066
logic10,gat,GradCAM-last,0.9684379688281378,0.002327081848472716,0.45355218815285014,0.06172842466822258
logic10,gat,GradCAM-all,0.9684379688281378,0.002327081848472716,0.4305248309342134,0.052523809263858905
logic10,gat,SmoothGrad(GradInput),0.9684379688281378,0.002327081848472716,0.354923470281691,0.07173327246279042
logic10,gat,IG,0.9684379688281378,0.002327081848472716,0.5482745268866159,0.08169777399780596
logic10,gat,Random,0.9684379688281378,0.002327081848472716,0.4995512051605802,0.01114246981055063
logic10,gat,AttWeights,0.9684379688281378,0.002327081848472716,0.5087453159364685,0.019434129558648264
benzene,gcn,CAM,1.0,0.0,0.975599430951077,0.020291239050034535
benzene,gcn,GradInput,1.0,0.0,0.7386287780028894,0.05810431106236867
benzene,gcn,GradCAM-last,1.0,0.0,0.7685169290224138,0.06951244727291729
benzene,gcn,GradCAM-all,1.0,0.0,0.7796048987633384,0.06390356321470221
benzene,gcn,SmoothGrad(GradInput),1.0,0.0,0.7302194608286687,0.05820988100205883
benzene,gcn,IG,1.0,0.0,0.9643771743799159,0.06079899943668874
benzene,gcn,Random,0.799457132790466,0.0010403299947157388,0.6157353745933873,0.00039190987478992823
benzene,gcn,AttWeights,,,,
benzene,graphnet,CAM,1.0,0.0,0.7638645680831874,0.11409745905037048
benzene,graphnet,GradInput,1.0,0.0,0.5482957505608811,0.060876299477805165
benzene,graphnet,GradCAM-last,1.0,0.0,0.6609208128641395,0.14608830813620854
benzene,graphnet,GradCAM-all,1.0,0.0,0.8458474262750411,0.060565519014028166
benzene,graphnet,SmoothGrad(GradInput),1.0,0.0,0.5508886698074075,0.065317135841572
benzene,graphnet,IG,1.0,0.0,0.8686249000629036,0.16085489401864014
benzene,graphnet,Random,0.8075599742266409,0.05094592558345959,0.6153777817488137,0.003029753626104775
benzene,graphnet,AttWeights,,,,
benzene,mpnn,CAM,1.0,0.0,0.9684996560168415,0.023444531252150735
benzene,mpnn,GradInput,1.0,0.0,0.5401859673548738,0.04283706122060828
benzene,mpnn,GradCAM-last,1.0,0.0,0.7389099900299583,0.0628161841571185
benzene,mpnn,GradCAM-all,1.0,0.0,0.70841941248789,0.05332132306163507
benzene,mpnn,SmoothGrad(GradInput),1.0,0.0,0.5393906931641516,0.05403215955572115
benzene,mpnn,IG,1.0,0.0,0.8546103337357283,0.14620294622227936
benzene,mpnn,Random,0.7727561060894393,0.06732977849122149,0.6141064587212893,0.0014541284916918238
benzene,mpnn,AttWeights,,,,
benzene,gat,CAM,1.0,0.0,0.9856728888039968,0.012300642608190488
benzene,gat,GradInput,1.0,0.0,0.5660422850849576,0.08907526841899448
benzene,gat,GradCAM-last,1.0,0.0,0.6401488598045113,0.06933691061887777
benzene,gat,GradCAM-all,1.0,0.0,0.6105266576046614,0.076297759137013
benzene,gat,SmoothGrad(GradInput),1.0,0.0,0.5542766496424192,0.10537182209357418
benzene,gat,IG,1.0,0.0,0.9126335064859811,0.07090134990081008
benzene,gat,Random,1.0,0.0,0.612821575540212,0.0027052284450937145
benzene,gat,AttWeights,1.0,0.0,0.5046933182103867,0.011252135772842505
